2.0_San Bruno_2900_68.0,"(3)32,(2)64",[ 0.  3.  1.  0. nan]
2.0_San Bruno_2900_68.0,"(3)32,64",[ 0.  3.  2.  0. nan]
2.0_San Bruno_2900_68.0,"(2)16,32",[ 0.  4.  0.  0. nan]
2.0_San Bruno_2900_68.0,"32,64",[ 0.  5.  0.  0. nan]
2.0_San Bruno_2400_68.0,64,[ 0.  0.  1.  0. nan]
2.0_San Bruno_2400_68.0,64,[ 0.  0.  1.  0. nan]
2.0_San Bruno_2400_68.0,(2)32,[ 0.  2.  0.  0. nan]
2.0_San Bruno_2600_68.0,64,[ 0.  0.  1.  0. nan]
2.0_San Bruno_2600_68.0,(2)64,[ 0.  0.  2.  0. nan]
2.0_Woosley_100_68.0,32,[ 0.  1.  0.  0. nan]
2.0_Woosley_100_68.0,"20,(3)32",[ 0.  2.  0.  0. nan]
2.0_Woosley_100_68.0,"16,(3)32",[ 0.  2.  0.  0. nan]
2.0_Woosley_100_68.0,"32,64,96",[ 0.  1.  1.  1. nan]
2.0_Woosley_100_68.0,(2)32,[ 0.  3.  0.  0. nan]
2.0_Woosley_100_68.0,"16,20,(2)32",[ 1.  3.  0.  0. nan]
2.0_Woosley_100_68.0,(2)32,[ 0.  3.  0.  0. nan]
2.0_Woosley_100_68.0,(3)32,[ 1.  2.  0.  0. nan]
2.0_Dwight_0_68.0,(2)32,[ 1.  0.  0.  0. nan]
2.0_Dwight_0_68.0,"(2)32,(2)64",[ 0.  0.  0.  0. nan]
2.0_Dwight_0_68.0,"20,32,(3)64",[ 0.  2.  0.  0. nan]
2.0_Dwight_0_68.0,20,[ 0.  2.  2.  0. nan]
2.0_Dwight_0_68.0,16,[ 0.  2.  1.  1. nan]
2.0_Dwight_0_68.0,"(2)32,64,96",[ 1.  1.  3.  0. nan]
2.0_San Bruno_3000_68.0,"32,96",[ 0.  1.  0.  0. nan]
2.0_San Bruno_3000_68.0,"(3)32,64",[ 0.  2.  0.  0. nan]
2.0_San Bruno_3000_68.0,(2)32,[ 0.  1.  1.  0. nan]
2.0_San Bruno_3000_68.0,"32,64",[ 1.  1.  0.  0. nan]
2.0_San Bruno_3000_68.0,32,[ 0.  3.  1.  0. nan]
2.0_San Bruno_3000_68.0,(4)32,[ 0.  4.  0.  0. nan]
2.0_San Bruno_3000_68.0,"(2)20,(4)32",[ 1.  3.  0.  0. nan]
2.0_San Bruno_3000_68.0,"20,(3)32",[ 0.  4.  0.  0. nan]
2.0_San Bruno_3000_68.0,(4)32,[ 0.  3.  1.  0. nan]
2.0_San Bruno_3000_68.0,"20,32",[ 0.  1.  3.  0. nan]
2.0_San Bruno_3000_68.0,"(3)32,64",[ 0.  1.  0.  1. nan]
2.0_San Bruno_3000_68.0,"32,(3)64",[ 2.  4.  0.  0. nan]
2.0_Olmstead _0_68.0,"(3)32,64",[ 1.  0.  0.  0. nan]
2.0_Olmstead _0_68.0,"16,32",[ 0.  1.  0.  0. nan]
2.0_Olmstead _0_68.0,"32,64",[ 0.  1.  1.  0. nan]
2.0_Olmstead _0_68.0,20,[ 0.  2.  0.  0. nan]
2.0_Olmstead _0_68.0,(2)32,[ 0.  1.  1.  0. nan]
2.0_Olmstead _0_68.0,"32,64",[ 0.  3.  1.  0. nan]
2.0_San Bruno_2910_68.0,96,[ 0.  0.  0.  1. nan]
5.0_Steiner _255_100.0,(2)64,[ 0.  0.  2.  0. nan]
5.0_Sanchez_25_100.0,(2)64,[ 0.  0.  2.  0. nan]
5.0_Haight _769_100.0,(2)96,[ 0.  0.  0.  2. nan]
5.0_Lausat_236_100.0,"64,96",[ 0.  0.  1.  1. nan]
5.0_Hermann_366_100.0,(2)96,[ 0.  0.  0.  2. nan]
5.0_Noe_15_100.0,"32,96",[ 0.  1.  0.  1. nan]
5.0_Waller_522_100.0,(2)64,[ 0.  0.  2.  0. nan]
5.0_Pierce_220_100.0,"64,96",[ 0.  0.  1.  1. nan]
5.0_Pierce_336_100.0,"32,64",[ 0.  1.  1.  0. nan]
5.0_Hermann_373_100.0,"32,96",[ 0.  1.  0.  1. nan]
5.0_Noe_47_100.0,"64,96",[ 0.  0.  1.  1. nan]
5.0_Noe _43_100.0,(2)32,[ 0.  2.  0.  0. nan]
4.0_Stanyan _820_59.0,"32,64",[ 0.  1.  1.  0. nan]
4.0_Stanyan _876_59.0,"64,96",[ 0.  0.  1.  1. nan]
4.0_Polk _610_59.0,"32,96",[ 0.  1.  0.  1. nan]
4.0_Polk _614_59.0,"32,96",[ 0.  1.  0.  1. nan]
4.0_Polk _615_59.0,"32,96",[ 0.  1.  0.  1. nan]
4.0_Polk _628_59.0,"64,96",[ 0.  0.  1.  1. nan]
4.0_Polk _637_59.0,(2)96,[ 0.  0.  0.  2. nan]
4.0_Polk _642_59.0,(2)96,[ 0.  0.  0.  2. nan]
4.0_Polk _651_59.0,"32,96",[ 0.  1.  0.  1. nan]
4.0_Polk _801_59.0,"32,96",[ 0.  1.  0.  1. nan]
4.0_Cole_1133_59.0,(2)64,[ 0.  0.  2.  0. nan]
4.0_Grattan_226_59.0,"32,96",[ 0.  1.  0.  1. nan]
4.0_Cole_1052_59.0,"64,96",[ 0.  0.  1.  1. nan]
4.0_Cole_1038_59.0,"32,96",[ 0.  1.  0.  1. nan]
4.0_Cole_1028_59.0,"32,96",[ 0.  1.  0.  1. nan]
4.0_Cole_1022_59.0,"32,96",[ 0.  1.  0.  1. nan]
4.0_Shredder _1120_59.0,"32,96",[ 0.  1.  0.  1. nan]
4.0_Stanyan _1050_59.0,"64,96",[ 0.  0.  1.  1. nan]
4.0_Prague_700_37.0,"20,32",[ 1.  1.  0.  0. nan]
4.0_Prague_700_37.0,(2)20,[ 2.  0.  0.  0. nan]
4.0_Prague_700_37.0,"20,32",[ 1.  1.  0.  0. nan]
4.0_Prague_700_37.0,(2)64,[ 0.  0.  2.  0. nan]
4.0_South Hill _0_37.0,"16,(3)32",[ 1.  1.  0.  0. nan]
4.0_South Hill _0_37.0,"(2)32,64",[ 1.  1.  0.  0. nan]
4.0_South Hill _0_37.0,"20,32",[ 0.  2.  1.  0. nan]
4.0_South Hill _0_37.0,"16,20,(2)32",[ 0.  3.  0.  0. nan]
4.0_South Hill _0_37.0,"16,20,(2)32 + 1 bag",[ 1.  2.  0.  0. nan]
4.0_South Hill _0_37.0,"16,32,(3)64",[ 1.  2.  0.  0. nan]
4.0_South Hill _0_37.0,"20,32",[ 0.  1.  3.  0. nan]
1.0_Palm Ave_23_47.0,"32,96",[ 0.  1.  0.  1. nan]
1.0_Euclid Ave_835_47.0,(2)64,[ 0.  0.  2.  0. nan]
1.0_Palm Ave_172_47.0,"32,96",[ 0.  1.  0.  1. nan]
1.0_Palm Ave_168_47.0,"64,96",[ 0.  0.  1.  1. nan]
1.0_Palm Ave_166_47.0,"32,96",[ 0.  1.  0.  1. nan]
1.0_Palm Ave_150_47.0,"64,96",[ 0.  0.  1.  1. nan]
2.0_San Bruno_2500_68.0,"(2)16,(2)32,96",[ 0.  0.  2.  0. nan]
2.0_San Bruno_2500_68.0,(2)64 + blade,[ 0.  2.  0.  0. nan]
2.0_San Bruno_2500_68.0,"32,(3)64",[ 0.  1.  3.  0. nan]
2.0_San Bruno_2500_68.0,(2)32,[ 0.  2.  1.  2. nan]
2.0_San Bruno_2500_68.0,"(2)32,64,(2)96",[nan nan nan nan nan]
2.0_Wayland_140_68.0,"(2)16,(4)32",[ 0.  2.  0.  0. nan]
2.0_Wayland_140_68.0,(3)32,[ 0.  2.  0.  0. nan]
2.0_Wayland_140_68.0,(2)32,[ 0.  3.  0.  0. nan]
2.0_Wayland_140_68.0,(2)32,[ 0.  4.  0.  0. nan]
2.0_Woosley_2800_68.0,(2)96,[ 0.  0.  0.  2. nan]
2.0_Woosley_2800_68.0,(2)64,[ 0.  0.  2.  0. nan]
2.0_Woosley_2800_68.0,"32,64",[ 0.  1.  1.  0. nan]
2.0_Woosley_2800_68.0,"20,(5)32",[ 1.  1.  0.  0. nan]
2.0_Woosley_2800_68.0,"20,(3)32",[ 1.  3.  0.  0. nan]
2.0_Woosley_2800_68.0,"(5)32,64",[ 1.  5.  0.  0. nan]
2.0_Woosley_2800_68.0,"20,32",[ 0.  5.  1.  0. nan]
2.0_Woosley_2800_68.0,"16,(5)32",[ 0.  5.  0.  0. nan]
2.0_San Bruno_2845_68.0,"32,96",[ 0.  1.  0.  1. nan]
2.0_Paul Ave_365_68.0,(2)32,[ 0.  2.  0.  0. nan]
5.0_Sanchez_2_100.0,(3)64,[ 0.  0.  3.  0. nan]
5.0_Walter_89_100.0,"64,(2)96",[ 0.  0.  1.  2. nan]
5.0_Haight _598_100.0,"(2)32,64",[ 0.  2.  1.  0. nan]
5.0_Haight _739_100.0,"64,(2)96",[ 0.  0.  1.  2. nan]
5.0_Haight _555_100.0,"64,(2)96",[ 0.  0.  1.  2. nan]
5.0_Noe_61_100.0,"64,(2)96",[ 0.  0.  1.  2. nan]
4.0_Carl_16_59.0,"32,(2)96",[ 0.  1.  0.  2. nan]
4.0_Grattan_148_59.0,"(2)32,96",[ 0.  2.  0.  1. nan]
4.0_Shredder _1223_59.0,"(2)64,96",[ 0.  0.  2.  1. nan]
1.0_Palm Ave_105_47.0,"(2)64,96",[ 0.  0.  2.  1. nan]
2.0_Girard_100_68.0,"32,(2)96",[ 0.  1.  0.  2. nan]
2.0_San Bruno_2574_68.0,"64,(2)96",[ 0.  0.  1.  2. nan]
5.0_Haight _560_100.0,"64,(3)96",[ 0.  0.  1.  3. nan]
5.0_Haight _525_100.0,"(2)64,(2)96",[ 0.  0.  2.  2. nan]
5.0_Fillmore _247_100.0,"(2)64,(2)96",[ 0.  0.  2.  2. nan]
4.0_Rolph_700_37.0,"(2)20,(2)32",[ 2.  2.  0.  0. nan]
2.0_San Bruno _2900_68.0,(6)32,[ 0.  6.  0.  0. nan]
2.0_San Bruno _2900_68.0,"(2)16,(4)32,64",[ 0.  4.  1.  0. nan]
